stop_id;stop_name;stop_code;visible;fare_zone_id;stop_lon;stop_lat;location_type;parent_station;stop_timezone;geometry_id;equipment_id;level_id;platform_code;address_id
LME:Navitia:M44;AMADORA ESTE;;1;;-9.21794;38.75855;1;;;;;;;
LME:Navitia:M40;AMEIXOEIRA;;1;;-9.15961;38.77953;1;;;;;;;
LME:Navitia:M25;ANJOS;;1;;-9.13488;38.72703;1;;;;;;;
LME:Navitia:M22;AREEIRO;;1;;-9.13349;38.74228;1;;;;;;;
LME:Navitia:M24;ARROIOS;;1;;-9.1343;38.73285;1;;;;;;;
LME:Navitia:M11;AVENIDA;;1;;-9.14513;38.71934;1;;;;;;;
LME:Navitia:M29;BAIXA-CHIADO;;1;;-9.14018;38.71041;1;;;;;;;
LME:Navitia:M32;BELA VISTA;;1;;-9.11772;38.7476;1;;;;;;;
LME:Navitia:M35;CABO RUIVO;;1;;-9.10518;38.76294;1;;;;;;;
LME:Navitia:M30;CAIS DO SODRÉ;;1;;-9.14612;38.70611;1;;;;;;;
LME:Navitia:M13;CAMPO GRANDE;;1;;-9.15788;38.76016;1;;;;;;;
LME:Navitia:M16;CAMPO PEQUENO;;1;;-9.14673;38.74079;1;;;;;;;
LME:Navitia:M02;CARNIDE;;1;;-9.19276;38.75901;1;;;;;;;
LME:Navitia:M33;CHELAS;;1;;-9.11404;38.75475;1;;;;;;;
LME:Navitia:M14;CIDADE UNIVERSITÁRIA;;1;;-9.15915;38.75144;1;;;;;;;
LME:Navitia:M03;COLÉGIO MILITAR-LUZ;;1;;-9.18987;38.75372;1;;;;;;;
LME:Navitia:M48;ENCARNAÇÃO;;1;;-9.11538;38.77499;1;;;;;;;
LME:Navitia:M15;ENTRECAMPOS;;1;;-9.14823;38.74698;1;;;;;;;
LME:Navitia:M26;INTENDENTE;;1;;-9.13526;38.72326;1;;;;;;;
LME:Navitia:M06;JARDIM ZOOLÓGICO;;1;;-9.16836;38.7412;1;;;;;;;
LME:Navitia:M05;LARANJEIRAS;;1;;-9.17252;38.74849;1;;;;;;;
LME:Navitia:M39;LUMIAR;;1;;-9.15933;38.77329;1;;;;;;;
LME:Navitia:M10;MARQUÊS DE POMBAL;;1;;-9.14965;38.72593;1;;;;;;;
LME:Navitia:M27;MARTIM MONIZ;;1;;-9.1358;38.71762;1;;;;;;;
LME:Navitia:M47;MOSCAVIDE;;1;;-9.10304;38.77496;1;;;;;;;
LME:Navitia:M42;ODIVELAS;;1;;-9.17343;38.79344;1;;;;;;;
LME:Navitia:M31;OLAIAS;;1;;-9.12297;38.74019;1;;;;;;;
LME:Navitia:M34;OLIVAIS;;1;;-9.11185;38.76084;1;;;;;;;
LME:Navitia:M36;ORIENTE;;1;;-9.09973;38.76786;1;;;;;;;
LME:Navitia:M09;PARQUE;;1;;-9.15015;38.72914;1;;;;;;;
LME:Navitia:M18;PICOAS;;1;;-9.14703;38.73024;1;;;;;;;
LME:Navitia:M01;PONTINHA;;1;;-9.19697;38.76223;1;;;;;;;
LME:Navitia:M07;PRAÇA DE ESPANHA;;1;;-9.15936;38.7377;1;;;;;;;
LME:Navitia:M38;QUINTA DAS CONCHAS;;1;;-9.15549;38.76745;1;;;;;;;
LME:Navitia:M19;RATO;;1;;-9.15486;38.72011;1;;;;;;;
LME:Navitia:M50;REBOLEIRA;;1;;-9.22414;38.75221;1;;;;;;;
LME:Navitia:M12;RESTAURADORES;;1;;-9.14239;38.7161;1;;;;;;;
LME:Navitia:M21;ROMA;;1;;-9.1413;38.74808;1;;;;;;;
LME:Navitia:M28;ROSSIO;;1;;-9.13796;38.71402;1;;;;;;;
LME:Navitia:M17;SALDANHA;;1;;-9.14528;38.73483;1;;;;;;;
LME:Navitia:M46;SANTA APOLÓNIA;;1;;-9.12212;38.71378;1;;;;;;;
LME:Navitia:M08;SÃO SEBASTIÃO;;1;;-9.15365;38.734;1;;;;;;;
LME:Navitia:M41;SR. ROUBADO;;1;;-9.1719;38.78576;1;;;;;;;
LME:Navitia:M37;TELHEIRAS;;1;;-9.16609;38.76017;1;;;;;;;
LME:Navitia:M45;TERREIRO DO PAÇO;;1;;-9.13286;38.70722;1;;;;;;;
